Trade	MktID	MarketName	TradableMnth	Weight	Slpg	Open	Close	CtCnt	Settle	BB	RIC	Tm1	Tm2	EnEndAdj	ExOT	ExPeriod	RebBegin	RebEnd	longMult	shortMult	TradeDir	longMult	shortMult	longShort	long	short	IBRoot	IBExch	OpenReg	URic	UIB	UR2NIntra	URNEX2d	UEm	Note	ProdWithAsian	longShort	longOnly	shortOnly	Note
Y	3101	10-year US Treasury@CBT	[001001001001]	1	0.01%	17:00	16:00	8	14:00	TYA Comdty	ZN	12:00	14:00	20	Vwap	10	07:10	08:10	1.55	0.9	0	1.35	0.85	Y	Y	Y	ZN	ECBOT		Y	Y	Y	Y	Y		Y	0.7	1.35	0.85	"long sr 1.37, logret 7.2"
Y	3102	Euro Bund@EUX	[001001001001]	1	0.01%	08:00	22:10	8	17:15	RXA Comdty	FGBL	12:00	17:15	20	Vwap	10	07:10	08:10	1.35	1.7	0	1.25	0.95	Y	Y	Y	GBL	DTB		Y	Y	Y	Y	Y		Y	1.25	1.25	1.6	"long sr 3.24, short sr 2.43"
Y	3103	5-year US Treasury@CBT	[001001001001]	1	0.01%	17:00	16:00	8	14:00	FVA Comdty	ZF	12:00	14:00	20	Vwap	10	08:10	09:10	1.75	0.95	0	1	0.95	Y	Y	Y	ZF	ECBOT		Y	Y	Y	Y	Y		Y	0.8	0.8	0.95	
Y	3104	Euro Bobl@EUX	[001001001001]	1	0.01%	08:00	22:05	8	17:15	OEA Comdty	FGBM	12:00	17:15	20	Vwap	10	08:20	09:20	1.55	1.6	0	1.5	1.2	Y	Y	Y	GBM	DTB		Y	Y	Y	Y	Y		N	1.15	1.5	1.15	
Y	3106	30-year US Treasury @CBT	[001001001001]	1	0.01%	17:00	16:00	8	14:00	USA Comdty	ZB	12:00	16:00	20	Vwap	10	07:10	08:10	1.25	1.85	0	1.95	0.55	Y	Y	Y	ZB	ECBOT		Y	Y	Y	Y	Y		Y	0.95	1.95	1.15	short sr 3.2
Y	3107	Long Gilt@LIF	[001001001001]	1	0.01%	08:00	18:00	8	16:15	G A Comdty	FLG	12:00	12:30	20	Vwap	10	09:10	10:10	1.7	1.65	1	1.5		N	Y	N	R	ICEEU		Y	Y	Y	Y	Y		N	1.5	1.5	1.75	short sr 1.2
Y	3112	US Treasury Ultra Bond@CBT	[001001001001]	1	0.01%	17:00	16:00	8	14:00	WNA Comdty	AUL	12:00	14:00	20	Vwap	10	07:10	08:10	0	1.75	0	0.75	1.75	Y	Y	Y	UB	ECBOT		Y	Y	Y	Y	Y		Y	0.85	0.85	1.75	
Y	3113	10-year Canadian Govt Bond@MSE	[001001001001]	1	0.01%	06:00	16:30	8	15:00	CNA Comdty	CGB 	12:00	15:00	20	Vwap	10	08:00	09:00	1.85	1.4	0	2	1.2	Y	Y	Y	CGB	CDE		Y	Y	Y	Y	N		Y	1.15	2	1.2	
Y	3115	10-year Italian Govt Bond@EUX	[001001001001]	1	0.01%	08:00	19:06	8	17:15	IKA Comdty	FBTP	12:30	17:15	20	Vwap	10	12:10	13:10	1.4	1.2	1	0.55	1.25	N	Y	N	BTP	DTB		Y	Y	N	Y	N		N	1.4	1.4	1.25	shrot sr 1.06
Y	3116	French Govt Bond@EUX	[001001001001]	1	0.01%	08:00	20:00	8	17:15	OATA Comdty	FOAT	12:30	19:00	20	Vwap	10	07:10	08:10	1.65	0	1	1.3		N	Y	N	OAT	DTB		Y	Y	N	N	N		N	1.6	1.3		"short sr always less than 0.37, short period"
Y	3119	Euro Buxl@EUX	[001001001001]	1	0.01%	08:00	22:00	8	17:15	UBA Comdty	FGBX	12:30	22:00	20	Vwap	10	09:10	10:10	1.5	1.15	0	1.45	1.4	Y	Y	Y	GBX	DTB		Y	Y	Y	Y	Y	new	N	1.4	1.5	1.4	short sr 3.4
