Trade	MktID	MarketName	TradableMnth	Weight	Slpg	Open	Close	CtCnt	Settle	BB	RIC	Tm1	Tm2	EnEndAdj	ExOT	ExPeriod	RebBegin	RebEnd	RollBegin	RollEnd	longMult	shortMult	TradeDir	longMult	shortMult	longShort	long	short	IBRoot	IBExch	OpenReg	URic	UIB	UR2NIntra	URNEX2d	UEm	Note	ProdWithAsian	longShort	longOnly	shortOnly	Note
Y	1101	Corn@CBT	[001010100001]	1	0.05%	19:00	13:20	8	13:15	C A Comdty	C	12:00	13:15	20	Vwap	10	19:05	21:05	19:05	21:05	0	1.8	0			N	N	N	ZC	ECBOT		Y	Y	Y	Y	Y		Y		1.5		long sr 0.97
N	1102	Corn@DCE	[100010001000]	1	0.05%	08:59	16:00	8		ACA Comdty	DCC	12:00		12	Vwap	2	09:04	11:04	09:04	11:04	0	0	0									N	N	N	N	N		N				
Y	1103	Maize@EOP	[101001010010]	1	0.16%	10:45	18:30	8	18:30	EPA Comdty	EMA	12:00	18:30	20	Vwap	10	10:50	12:50	10:50	12:50	1.8	0	0						EMA	MATIF		Y	Y	N	Y	N		N				
N	1201	Cotton@ZCE	[101010101010]	1	0.05%	21:00	15:00	8		VVA Comdty		12:00		12	Vwap	2	21:05	23:05	21:05	23:05	0	0	0									N	N	N	N	N		N				
Y	1202	Cotton No. 2@NYB	[001010100001]	1	0.05%	21:00	14:30	8	14:15	CTA Comdty	CT	12:00	14:15	20	Vwap	10	21:05	23:05	21:05	23:05	0	1.25	-1		1.9	N	N	Y	CT	NYBOT	21:00	Y	Y	Y	Y	Y		Y	1.7	1	1.9	
N	1301	Palm Oil@DCE	[100010001000]	1	0.05%	21:00	16:00	8		PALA Comdty	DCP	12:00		12	Vwap	2	21:05	23:05	21:05	23:05	0	0	0									N	N	N	N	N	liq	N				
N	1302	White Sugar@ZCE	[101010101010]	1	0.05%	21:00	15:00	8		CBA Comdty		12:00		12	Vwap	2	21:05	23:05	21:05	23:05	0	0	0									N	N	N	N	N		N				
Y	1303	Sugar No. 11@NYB	[001010100100]	1	0.05%	03:30	13:00	8	12:55	SBA Comdty	SB	12:00	12:30	30	Vwap	20	03:35	05:35	03:35	05:35	1.2	1.35	-1		1.15	N	N	Y	SB	NYBOT		Y	Y	Y	Y	Y		Y	0.9		0.85	long almost always lose
N	1304	Egg@DCE	[111111001111]	1	0.05%	08:59	16:00	8		DCEA Comdty		12:00		12	Vwap	2	09:04	11:04	09:04	11:04	0	0	0									N	N	N	N	N		N				
N	1305	London Cocoa No. 7@LIF	[001010101001]	1	0.05%	09:30	16:55	8	16:50	QCA Comdty	LCC	12:00	16:50	30	Vwap	20	09:35	11:35	09:35	11:35	0	0	0						C	ICEEUSOFT		Y	Y	Y	Y	Y		Y				Fix BST time
N	1306	Cocoa@NYB	[001010101001]	1	0.05%	04:45	13:30	8	11:50	CCA Comdty	CC	12:00	13:20	30	Vwap	20	04:50	06:50	04:50	06:50	0	0	0				N	N	CC	NYBOT		Y	Y	Y	Y	Y		Y				
N	1307	Coffee C@NYB	[001010101001]	1	0.05%	04:15	13:30	8	13:25	KCA Comdty	KC	12:00	13:25	30	Vwap	20	04:20	06:20	04:20	06:20	0	0	0						KC	NYBOT		Y	Y	Y	Y	Y		Y				
Y	1308	Robusta Coffee@LIF	[101010101010]	1	0.05%	09:00	17:30	8	17:25	DFA Comdty	LRC	12:00	12:30	30	Vwap	20	09:05	11:05	09:05	11:05	0	1.8	0	1.8	1.2	Y	Y	Y	D	ICEEUSOFT		Y	Y	Y	Y	Y		Y		1.8		Fix BST time
Y	1309	Sugar@LIF	[001010010101]	1	0.05%	08:45	18:00	8	17:55	QWA Comdty	LSU	12:00	18:00	30	Vwap	20	08:50	10:50	08:50	10:50	0	0.8	1	1.75		N	Y	N	W	ICEEUSOFT		Y	Y	Y	Y	Y		Y	1.5	1.75	1.35	best long sr @1.75; 
N	1310	Milk@CME	[111111111111]	1	0.05%	17:05	16:00	8	13:10	DAA Comdty	DA	12:00	13:10	12	Vwap	2	17:05	19:05	17:05	19:05	0	0	0						DA	GLOBEX		Y	Y	N	N	N	liq	N				
N	1311	FCOJ@NYB	[101010101010]	1	0.05%	08:00	14:00	8	13:30	JOA Comdty	OJ	12:00	14:00	30	Vwap	20	08:05	10:05	08:05	10:05	0	0	0						OJ	NYBOT		Y	Y	Y	Y	Y		Y				
Y	1401	Live Cattle@CME	[010101010101]	1	0.05%	08:30	13:05	8	13:00	LCA Comdty	LC	12:00	12:30	40	Vwap	30	08:35	09:35	08:35	09:35	1.8	1.55	0	1.35	1.65	Y	Y	Y	LE	GLOBEX	08:30	Y	Y	Y	Y	Y		N	1.65	1.8	1.65	
Y	1402	Lean Hogs@CME	[010101010101]	1	0.05%	08:30	13:05	8	13:00	LHA Comdty	LH	12:00	13:00	40	Vwap	30	08:35	09:35	08:35	09:35	1.5	1.65	0	1.35	0.85	Y	Y	Y	HE	GLOBEX	08:30	Y	Y	Y	Y	Y		Y	1.2	1.35	1	long sr2.36; short sr 1.9
N	1403	Feeder Cattle@CME	[101010011110]	1	0.05%	08:30	13:05	8	13:00	FCA Comdty	FC	12:00	13:00	40	Vwap	30	08:35	09:35	08:35	09:35	0	0	0	1.5	1.35	Y	Y	Y	GF	GLOBEX	08:30	Y	Y	N	Y	N	liq	N	1.35	1.5	1.35	
N	1501	Rapeseed@ZCE	[101010111010]	1	0.05%	21:00	15:00	8		ZRRA Comdty		12:00		12	Vwap	2	21:05	23:05	21:05	23:05	0	0	0									N	N	N	N	N		N				
N	1502	Rapeseed Oil@ZCE	[101010101010]	1	0.05%	21:00	15:00	8		ZROA Comdty		12:00		12	Vwap	2	21:05	23:05	21:05	23:05	0	0	0									N	N	N	N	N		N				
